CURSO,COD_RUCT,TITULACION,CENTRO,autoeficacia_3_anos,año,nivel_autoeficacia
2020-21,2500739,GRADO EN ARQUITECTURA TÉCNICA,E.T.S. DE INGENIERÍA DE EDIFICACIÓN,5.8,2020,Muy alta
2020-21,2500801,GRADO EN CIENCIAS AMBIENTALES,ESCUELA POLITECNICA SUPERIOR DE GANDIA,4.5,2020,Media
2020-21,2501354,GRADO EN COMUNICACIÓN AUDIOVISUAL,ESCUELA POLITECNICA SUPERIOR DE GANDIA,4.0,2020,Media
2020-21,2501355,GRADO EN TURISMO,ESCUELA POLITECNICA SUPERIOR DE GANDIA,3.8,2020,Media
2020-21,2501356,GRADO EN INGENIERÍA EN DISEÑO INDUSTRIAL Y DESARROLLO DE PRODUCTOS,E. POLITÉCNICA SUPERIOR DE ALCOY,5.8,2020,Muy alta
2020-21,2501356,GRADO EN INGENIERÍA EN DISEÑO INDUSTRIAL Y DESARROLLO DE PRODUCTOS,E.T.S. DE INGENIERIA DEL DISEÑO,4.9,2020,Alta
2020-21,2501484,GRADO EN BELLAS ARTES,FACULTAD DE BELLAS ARTES,3.9,2020,Media
2020-21,2501485,GRADO EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURALES,FACULTAD DE BELLAS ARTES,2.8,2020,Baja
2020-21,2501486,GRADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA,FACULTAD DE ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,4.1,2020,Media
2020-21,2501649,GRADO EN BIOTECNOLOGÍA,E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL,5.5,2020,Alta
2020-21,2501650,GRADO EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS,E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL,5.4,2020,Alta
2020-21,2501651,GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,E. POLITÉCNICA SUPERIOR DE ALCOY,6.7,2020,Muy alta
2020-21,2501651,GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,FACULTAD DE ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,6.4,2020,Muy alta
2020-21,2501653,GRADO EN INGENIERÍA AEROESPACIAL,E.T.S. DE INGENIERIA DEL DISEÑO,5.7,2020,Muy alta
2020-21,2501654,GRADO EN INGENIERÍA AGROALIMENTARIA Y DEL MEDIO RURAL,E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL,5.8,2020,Muy alta
2020-21,2501655,GRADO EN INGENIERÍA ELÉCTRICA,E. POLITÉCNICA SUPERIOR DE ALCOY,7.0,2020,Muy alta
2020-21,2501655,GRADO EN INGENIERÍA ELÉCTRICA,E.T.S. DE INGENIERIA DEL DISEÑO,7.4,2020,Muy alta
2020-21,2501656,GRADO EN INGENIERÍA ELECTRÓNICA INDUSTRIAL Y AUTOMÁTICA,E.T.S. DE INGENIERIA DEL DISEÑO,7.2,2020,Muy alta
2020-21,2501657,GRADO EN INGENIERÍA GEOMÁTICA Y TOPOGRAFÍA,"E.T.S.I. GEODESICA, CARTOGRAFICA Y TOP.",4.7,2020,Alta
2020-21,2501658,GRADO EN INGENIERÍA DE ORGANIZACIÓN INDUSTRIAL,E.T.S.I. INDUSTRIALES,7.0,2020,Muy alta
2020-21,2501659,GRADO EN INGENIERÍA EN TECNOLOGÍAS INDUSTRIALES,E.T.S.I. INDUSTRIALES,6.7,2020,Muy alta
2020-21,2501660,GRADO EN INGENIERÍA FORESTAL Y DEL MEDIO NATURAL,E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL,4.2,2020,Media
2020-21,2501661,GRADO EN INGENIERÍA INFORMÁTICA,E. POLITÉCNICA SUPERIOR DE ALCOY,8.0,2020,Muy alta
2020-21,2501661,GRADO EN INGENIERÍA INFORMÁTICA,E.T.S. DE INGENIERÍA INFORMÁTICA,8.2,2020,Muy alta
2020-21,2501662,GRADO EN INGENIERÍA QUÍMICA,E. POLITÉCNICA SUPERIOR DE ALCOY,5.4,2020,Alta
2020-21,2501662,GRADO EN INGENIERÍA QUÍMICA,E.T.S.I. INDUSTRIALES,5.3,2020,Alta
2020-21,2501663,"GRADO EN INGENIERÍA DE SISTEMAS DE TELECOMUNICACIÓN, SONIDO E IMAGEN",ESCUELA POLITECNICA SUPERIOR DE GANDIA,7.0,2020,Muy alta
2020-21,2502182,GRADO EN INGENIERÍA MECÁNICA,E. POLITÉCNICA SUPERIOR DE ALCOY,5.9,2020,Muy alta
2020-21,2502182,GRADO EN INGENIERÍA MECÁNICA,E.T.S. DE INGENIERIA DEL DISEÑO,6.2,2020,Muy alta
2020-21,2502405,GRADO EN INGENIERÍA DE OBRAS PÚBLICAS,"E.T.S.I. CAMINOS, CANALES Y PUERTOS",4.3,2020,Media
2020-21,2502407,GRADO EN INGENIERÍA DE TECNOLOGÍAS Y SERVICIOS DE TELECOMUNICACIÓN,E.T.S.I. DE TELECOMUNICACIÓN,7.0,2020,Muy alta
2020-21,2502507,GRADO EN INGENIERÍA CIVIL,"E.T.S.I. CAMINOS, CANALES Y PUERTOS",6.3,2020,Muy alta
2020-21,2502660,GRADO EN INGENIERÍA DE LA ENERGÍA,E.T.S.I. INDUSTRIALES,6.3,2020,Muy alta
2020-21,2502731,GRADO EN INGENIERÍA BIOMÉDICA,E.T.S.I. INDUSTRIALES,5.2,2020,Alta
2020-21,2503025,GRADO EN FUNDAMENTOS DE LA ARQUITECTURA,E.T.S. DE ARQUITECTURA,5.4,2020,Alta
2020-21,4310280,MÁSTER UNIVERSITARIO EN EDIFICACIÓN,E.T.S. DE INGENIERÍA DE EDIFICACIÓN,5.7,2020,Muy alta
2020-21,4310282,MÁSTER UNIVERSITARIO EN INGENIERÍA ACÚSTICA,ESCUELA POLITECNICA SUPERIOR DE GANDIA,7.0,2020,Muy alta
2020-21,4310284,MÁSTER UNIVERSITARIO EN INGENIERÍA DE COMPUTADORES Y REDES,UNIDAD DE MÁSTERES UNIVERSITARIOS,8.3,2020,Muy alta
2020-21,4310288,"MÁSTER UNIVERSITARIO EN TRANSPORTE, TERRITORIO Y URBANISMO","E.T.S.I. CAMINOS, CANALES Y PUERTOS",5.3,2020,Alta
2020-21,4310468,MÁSTER UNIVERSITARIO EN SANIDAD Y PRODUCCIÓN VEGETAL,UNIDAD DE MÁSTERES UNIVERSITARIOS,4.1,2020,Media
2020-21,4310569,"MÁSTER UNIVERSITARIO EN INGENIERÍA AVANZADA DE PRODUCCIÓN, LOGÍSTICA Y CADENA DE SUMINISTRO",E.T.S.I. INDUSTRIALES,2.9,2020,Baja
2020-21,4310809,MÁSTER UNIVERSITARIO EN ARTES VISUALES Y MULTIMEDIA,UNIDAD DE MÁSTERES UNIVERSITARIOS,1.8,2020,Muy baja
2020-21,4310811,MÁSTER UNIVERSITARIO EN SEGURIDAD INDUSTRIAL Y MEDIO AMBIENTE,UNIDAD DE MÁSTERES UNIVERSITARIOS,4.0,2020,Media
2020-21,4310813,"MÁSTER UNIVERSITARIO EN GESTIÓN DE EMPRESAS, PRODUCTOS Y SERVICIOS",FACULTAD DE ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,6.5,2020,Muy alta
2020-21,4310814,MÁSTER UNIVERSITARIO EN DIRECCIÓN FINANCIERA Y FISCAL,FACULTAD DE ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,7.6,2020,Muy alta
2020-21,4310898,MÁSTER UNIVERSITARIO EN DIRECCIÓN Y GESTIÓN DE PROYECTOS,E.T.S.I. INDUSTRIALES,7.5,2020,Muy alta
2020-21,4310960,MÁSTER UNIVERSITARIO EN GESTIÓN CULTURAL,UNIDAD DE MÁSTERES UNIVERSITARIOS,2.3,2020,Baja
2020-21,4310963,"MÁSTER UNIVERSITARIO EN ARQUITECTURA AVANZADA, PAISAJE, URBANISMO Y DISEÑO",E.T.S. DE ARQUITECTURA,2.1,2020,Baja
2020-21,4310964,MÁSTER UNIVERSITARIO EN AUTOMÁTICA E INFORMÁTICA INDUSTRIAL,UNIDAD DE MÁSTERES UNIVERSITARIOS,7.7,2020,Muy alta
2020-21,4310965,MÁSTER UNIVERSITARIO EN CIENCIA E INGENIERÍA DE LOS ALIMENTOS,E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL,8.1,2020,Muy alta
2020-21,4310966,MÁSTER UNIVERSITARIO EN CONSERVACIÓN DEL PATRIMONIO ARQUITECTÓNICO,E.T.S. DE ARQUITECTURA,5.7,2020,Muy alta
2020-21,4310967,MÁSTER UNIVERSITARIO EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURALES,UNIDAD DE MÁSTERES UNIVERSITARIOS,2.8,2020,Baja
2020-21,4310968,MÁSTER UNIVERSITARIO EN CONSTRUCCIONES E INSTALACIONES INDUSTRIALES,E.T.S.I. INDUSTRIALES,5.0,2020,Alta
2020-21,4310969,MÁSTER UNIVERSITARIO EN DISEÑO Y FABRICACIÓN INTEGRADA ASISTIDOS POR COMPUTADOR,E.T.S. DE INGENIERIA DEL DISEÑO,6.8,2020,Muy alta
2020-21,4310971,MÁSTER UNIVERSITARIO EN INGENIERÍA DE SISTEMAS ELECTRÓNICOS,E.T.S.I. DE TELECOMUNICACIÓN,8.0,2020,Muy alta
2020-21,4310972,MÁSTER UNIVERSITARIO EN INGENIERÍA Y TECNOLOGÍA DE SISTEMAS SOFTWARE,UNIDAD DE MÁSTERES UNIVERSITARIOS,8.9,2020,Muy alta
2020-21,4310973,MÁSTER UNIVERSITARIO EN INGENIERÍA DEL DISEÑO,E.T.S. DE INGENIERIA DEL DISEÑO,4.8,2020,Alta
2020-21,4310974,MÁSTER UNIVERSITARIO EN INGENIERÍA DEL HORMIGÓN,UNIDAD DE MÁSTERES UNIVERSITARIOS,4.5,2020,Media
2020-21,4310975,MÁSTER UNIVERSITARIO EN INGENIERÍA DEL MANTENIMIENTO,E.T.S. DE INGENIERIA DEL DISEÑO,7.1,2020,Muy alta
2020-21,4310976,MÁSTER UNIVERSITARIO EN PLANIFICACIÓN Y GESTIÓN EN INGENIERÍA CIVIL,"E.T.S.I. CAMINOS, CANALES Y PUERTOS",2.3,2020,Baja
2020-21,4310977,MÁSTER UNIVERSITARIO EN INGENIERÍA HIDRÁULICA Y MEDIO AMBIENTE,UNIDAD DE MÁSTERES UNIVERSITARIOS,4.0,2020,Media
2020-21,4310978,MÁSTER UNIVERSITARIO EN INGENIERÍA MECÁNICA,UNIDAD DE MÁSTERES UNIVERSITARIOS,7.3,2020,Muy alta
2020-21,4310979,"MÁSTER UNIVERSITARIO EN INTELIGENCIA ARTIFICIAL, RECONOCIMIENTO DE FORMAS E IMAGEN DIGITAL",UNIDAD DE MÁSTERES UNIVERSITARIOS,7.0,2020,Muy alta
2020-21,4310980,MÁSTER UNIVERSITARIO EN SISTEMAS PROPULSIVOS PARA UNA MOVILIDAD SOSTENIBLE,UNIDAD DE MÁSTERES UNIVERSITARIOS,4.4,2020,Media
2020-21,4310981,MÁSTER UNIVERSITARIO EN TECNOLOGÍA ENERGÉTICA PARA DESARROLLO SOSTENIBLE,E.T.S.I. INDUSTRIALES,5.4,2020,Alta
2020-21,4310982,"MÁSTER UNIVERSITARIO EN TECNOLOGÍAS, SISTEMAS Y REDES DE COMUNICACIONES",E.T.S.I. DE TELECOMUNICACIÓN,3.2,2020,Baja
2020-21,4311602,MÁSTER UNIVERSITARIO EN BIOTECNOLOGÍA BIOMÉDICA,UNIDAD DE MÁSTERES UNIVERSITARIOS,4.3,2020,Media
2020-21,4311603,MÁSTER UNIVERSITARIO EN BIOTECNOLOGÍA MOLECULAR Y CELULAR DE PLANTAS,UNIDAD DE MÁSTERES UNIVERSITARIOS,4.0,2020,Media
2020-21,4311604,MÁSTER UNIVERSITARIO EN ECONOMÍA AGROALIMENTARIA Y DEL MEDIO AMBIENTE,UNIDAD DE MÁSTERES UNIVERSITARIOS,6.3,2020,Muy alta
2020-21,4311605,MÁSTER UNIVERSITARIO EN GESTIÓN DE LA SEGURIDAD Y CALIDAD ALIMENTARIA,E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL,7.1,2020,Muy alta
2020-21,4311606,"MÁSTER UNIVERSITARIO EN INGENIERÍA DE ANÁLISIS DE DATOS, MEJORA DE PROCESOS Y TOMA DE DECISIONES",UNIDAD DE MÁSTERES UNIVERSITARIOS,10.0,2020,Muy alta
2020-21,4311609,MÁSTER UNIVERSITARIO EN LENGUAS Y TECNOLOGÍA,UNIDAD DE MÁSTERES UNIVERSITARIOS,6.4,2020,Muy alta
2020-21,4311612,MÁSTER UNIVERSITARIO EN POSTPRODUCCIÓN DIGITAL,ESCUELA POLITECNICA SUPERIOR DE GANDIA,2.5,2020,Baja
2020-21,4311613,MÁSTER UNIVERSITARIO EN PREVENCIÓN DE RIESGOS LABORALES,UNIDAD DE MÁSTERES UNIVERSITARIOS,6.8,2020,Muy alta
2020-21,4311614,MÁSTER UNIVERSITARIO EN PRODUCCIÓN ARTÍSTICA,FACULTAD DE BELLAS ARTES,3.0,2020,Baja
2020-21,4311725,MÁSTER UNIVERSITARIO EN COOPERACIÓN AL DESARROLLO,UNIDAD DE MÁSTERES UNIVERSITARIOS,4.2,2020,Media
2020-21,4311726,MÁSTER UNIVERSITARIO EN INGENIERÍA AMBIENTAL,"E.T.S.I. CAMINOS, CANALES Y PUERTOS",3.0,2020,Baja
2020-21,4312033,MÁSTER UNIVERSITARIO EN ACUICULTURA,UNIDAD DE MÁSTERES UNIVERSITARIOS,0.0,2020,Muy baja
